Obs;Description;Requirements;Place;Qualification;DescriptionFirm;Firm;Sector
;Descrição:                                                                                    Atuará no atendimento de pacientes como clínico geral em clínica na região de Salvador.;Formação                                                                                    Ensino Superior completo.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como médico clínico geral.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará no atendimento de pacientes como clínico geral em clínica na região de Salvador.;Formação                                                                                    Ensino Superior completo.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como médico clínico geral.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará no atendimento de pacientes no setor de Geriatria em clínica na região de Salvador.;Formação                                                                                    Ensino Superior completo com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como médico Geriatra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará no atendimento de pacientes no setor de Geriatria em clínica na região de Salvador.;Formação                                                                                    Ensino Superior completo com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como médico Geriatra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento médico eletivo na especialidade urologia. Examinar os pacientes, passar tratamentos e prescrever medicamentos.;Formação                                                                                    Ensino Superior completo com especialização na área..;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência na área médica..;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento médico eletivo na especialidade urologia. Examinar os pacientes, passar tratamentos e prescrever medicamentos.;Formação                                                                                    Ensino Superior completo com especialização na área..;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência na área médica..;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá atuar com repasse de convênios, procedimentos,   consultas e atendimento aos pacientes.;Formação                                                                                    Ensino superior completo em Medicina, certificado de   especialização em Endocrinologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico endocrinologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá atuar com repasse de convênios, procedimentos,   consultas e atendimento aos pacientes.;Formação                                                                                    Ensino superior completo em Medicina, certificado de   especialização em Endocrinologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico endocrinologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá realizar atendimento aos pacientes, consultas e   procedimentos na área de mastologia.;Formação                                                                                    Ensino superior completo em Medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico mastologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá realizar atendimento aos pacientes, consultas e   procedimentos na área de mastologia.;Formação                                                                                    Ensino superior completo em Medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico mastologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará no atendimento de pacientes no setor de ortopedia em clínica na região de Salvador.;Formação                                                                                    Ensino superior completo.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico reumatologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará no atendimento de pacientes no setor de ortopedia em clínica na região de Salvador.;Formação                                                                                    Ensino superior completo.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico reumatologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá atuar com repasse de convênios, atendimento aos   pacientes, realização de procedimentos cirúrgicos e   consultas.;Formação                                                                                    Ensino superior completo em Medicina com especialização em   Ginecologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico ginecologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá atuar com repasse de convênios, atendimento aos   pacientes, realização de procedimentos cirúrgicos e   consultas.;Formação                                                                                    Ensino superior completo em Medicina com especialização em   Ginecologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico ginecologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá prestar atendimento especializado em pediatria,   consultas e procedimentos.;Formação                                                                                    Ensino superior completo em Medicina com especialização em Pediatria.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência  como medico pediatra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá prestar atendimento especializado em pediatria,   consultas e procedimentos.;Formação                                                                                    Ensino superior completo em Medicina com especialização em Pediatria.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência  como medico pediatra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá realizar atendimento especializado em cardiologia,   consultas e procedimentos.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cardiologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá realizar atendimento especializado em cardiologia,   consultas e procedimentos.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cardiologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento aos pacientes e demais atividades.;Formação                                                                                    Ensino Superior completo em Medicina, com especializaçõa na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como médico obstetra..;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento aos pacientes e demais atividades.;Formação                                                                                    Ensino Superior completo em Medicina, com especializaçõa na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Necessário experiência como médico obstetra..;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá realizar atendimento especializado em Proctologia   consultas e procedimentos.;Formação                                                                                    Ensino Superior completo em Medicina, com certificado de especialização em Proctologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico Proctologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Irá realizar atendimento especializado em Proctologia   consultas e procedimentos.;Formação                                                                                    Ensino Superior completo em Medicina, com certificado de especialização em Proctologia.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como médico Proctologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino Superior completo em Medicina, com Especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cancerologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino Superior completo em Medicina, com Especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cancerologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Superior completo em Medicina, com Especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como medico coloproctologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Superior completo em Medicina, com Especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Desejável experiência como medico coloproctologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico alergista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico alergista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico neuropediatra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico neuropediatra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico angiologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico angiologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médio ginecologista obstetra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médio ginecologista obstetra.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico gastrologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico gastrologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico radiologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico radiologista.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cirurgião geral.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cirurgião geral.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cirurgião cardiovascular.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
;Descrição:                                                                                    Atuará com atendimento a pacientes, encaminhar para exames, tirar dúvidas, prescrever medicamentos, examinar, realizar tratamentos e demais atividades da função.;Formação                                                                                    Ensino superior completo em medicina, com especialização na área.  .;Local de Trabalho:                                                                                                                        Salvador                                            /                                            BA                                            -                                                 1 vaga;Qualificação:>                                                                                    Experiência como médico cirurgião cardiovascular.;Descrição:                                                                                    Policlínica.;Nome:                                                                                    Confidencial;Ramo:                                                                                    Saúde/ Hospitalar
